Date,Open,High,Low,Close,Volume
2026-03-19,390.1000061035156,392.489990234375,387.05999755859375,389.0199890136719,25138800
2026-03-20,386.7900085449219,387.0,380.1199951171875,381.8699951171875,50853200
2026-03-23,383.8999938964844,387.2099914550781,381.67999267578125,383.0,29680100
2026-03-24,382.3599853515625,382.4700012207031,371.8500061035156,372.739990234375,42733600
2026-03-25,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200
2026-03-26,370.82000732421875,374.7200012207031,365.19000244140625,365.9700012207031,36836600
2026-03-27,361.8999938964844,362.45001220703125,356.510009765625,356.7699890136719,37883400
2026-03-30,361.8999938964844,365.3599853515625,356.2799987792969,358.9599914550781,44797000
2026-03-31,364.54998779296875,372.8999938964844,363.07000732421875,370.1700134277344,45244400
2026-04-01,373.489990234375,373.989990234375,368.20001220703125,369.3699951171875,29417200
2026-04-02,367.2099914550781,373.6400146484375,364.1499938964844,373.4599914550781,24099100
2026-04-06,373.489990234375,373.7300109863281,369.5,372.8800048828125,16146600
2026-04-07,370.3399963378906,372.45001220703125,366.55999755859375,372.2900085449219,21443300
2026-04-08,384.9800109863281,385.0,371.4100036621094,374.3299865722656,33064800
2026-04-09,372.5,373.5,367.04998779296875,373.07000732421875,30435300
2026-04-10,372.9800109863281,375.6400146484375,370.0299987792969,370.8699951171875,28111100
2026-04-13,373.6099853515625,384.5400085449219,371.0199890136719,384.3699951171875,35745800
2026-04-14,387.9200134277344,394.69000244140625,386.5199890136719,393.1099853515625,37504500
2026-04-15,398.0,414.3699951171875,396.7300109863281,411.2200012207031,45063400
2026-04-16,419.8599853515625,420.82000732421875,412.1400146484375,420.260009765625,41642400
2026-04-17,424.82000732421875,431.5799865722656,420.69000244140625,422.7900085449219,48568200
2026-04-20,421.1499938964844,423.3299865722656,416.29998779296875,418.07000732421875,27582200
2026-04-21,420.239990234375,427.17999267578125,417.20001220703125,424.1600036621094,32048500
2026-04-22,426.19000244140625,433.70001220703125,423.6700134277344,432.9200134277344,29378200
2026-04-23,419.6600036621094,423.3599853515625,411.41009521484375,415.44000244140625,30681908
